Size,Type,Time
712551,1,0.204859
95088,1,0.038555
430781,0,0.107347
500441,1,0.143823
723611,1,0.206605
693213,1,0.191476
937829,1,0.265418
991599,2,0.298448
500441,0,0.136913
813284,0,0.231343
478853,0,0.140101
705015,0,0.186692
169946,0,0.042656
632157,2,0.158939
802915,2,0.215871
145480,2,0.038687
177833,0,0.044168
902715,0,0.219259
43834,1,0.040185
117563,1,0.042825
859621,0,0.216187
946636,0,0.251884
468381,0,0.100566
33315,0,0.006648
733191,2,0.181206
73146,0,0.016223
683534,2,0.182775
101463,1,0.054971
723611,2,0.189259
457394,2,0.140665
177833,1,0.077542
885773,2,0.254132
396346,2,0.084032
427538,1,0.126085
371716,1,0.116342
43834,0,0.009449
73146,2,0.016657
833839,2,0.228427
876829,2,0.239182
512669,1,0.144761
152995,1,0.063567
306029,1,0.103618
989248,2,0.253804
427538,2,0.102302
186039,0,0.034245
885773,0,0.224515
970988,2,0.250796
924461,2,0.240295
491520,2,0.130560
705015,1,0.203184
902715,2,0.230324
57955,2,0.012906
312722,2,0.082533
967540,2,0.250908
484994,2,0.127426
989248,1,0.290383
550375,1,0.177241
733191,0,0.189671
561942,2,0.150743
457394,1,0.147971
484994,1,0.148463
208154,2,0.048717
924461,1,0.264538
328997,1,0.106021
396346,1,0.128126
885773,1,0.261473
208154,1,0.081698
937829,2,0.292605
478853,1,0.138967
478853,2,0.111275
561942,1,0.161276
338245,0,0.092080
539638,0,0.144832
101463,0,0.018080
85073,1,0.037644
813284,1,0.242895
520039,1,0.159655
443645,2,0.124641
946636,2,0.275758
859621,2,0.210121
386723,1,0.115266
604734,0,0.159235
653117,2,0.178765
254874,0,0.073763
95088,2,0.018204
653117,0,0.165711
491520,0,0.107538
443645,1,0.139039
623686,1,0.174156
234566,1,0.079331
491520,1,0.147019
712551,0,0.175293
952322,0,0.242983
62712,2,0.014028
186039,2,0.046932
589559,1,0.175168
589559,2,0.181377
520039,0,0.124357
676884,0,0.154741
263210,1,0.085037
418075,1,0.148270
12382,1,0.028749
241825,0,0.050798
668441,2,0.194336
152995,2,0.045218
579311,0,0.126721
386723,2,0.103682
131059,0,0.026668
952322,2,0.277320
306029,0,0.066399
62712,1,0.059311
12382,0,0.002322
917312,2,0.242161
970988,0,0.259051
604734,1,0.180793
579311,2,0.159757
223338,2,0.049057
693213,2,0.182664
623686,2,0.177545
124025,0,0.023375
145480,0,0.026411
186039,1,0.065021
648621,2,0.166332
290091,1,0.090790
546513,1,0.174076
780444,2,0.227937
43834,2,0.008258
484994,0,0.120565
712551,2,0.180702
408832,1,0.125784
648621,0,0.166023
290091,2,0.061135
589,2,0.000073
366408,2,0.101902
338245,2,0.099449
223338,0,0.043698
457394,0,0.142394
427538,0,0.085119
145480,1,0.054720
33315,2,0.007500
396346,0,0.103353
802915,0,0.225239
20691,2,0.003442
85073,0,0.014756
924461,0,0.229524
546513,2,0.145940
828457,0,0.214612
371716,2,0.099687
95088,0,0.016982
859621,1,0.237527
970988,1,0.265217
579311,1,0.171623
828457,2,0.215453
989248,0,0.235944
85073,2,0.016586
676884,1,0.200158
813284,2,0.223088
275367,1,0.093880
733191,1,0.229834
468381,1,0.153063
328997,2,0.097044
418075,2,0.110713
288140,2,0.060286
937829,0,0.263388
197433,0,0.040112
876829,0,0.212742
117563,0,0.021384
828457,1,0.230728
169946,2,0.067662
868601,2,0.354414
610082,1,0.186608
546513,0,0.128267
366408,0,0.093005
604734,2,0.148027
500441,2,0.140209
306029,2,0.079623
794978,1,0.241342
288140,0,0.077341
290091,0,0.065636
610082,2,0.162422
598653,2,0.164857
124025,2,0.030530
348991,2,0.082937
288140,1,0.096516
776707,1,0.231216
366408,1,0.121157
312722,0,0.075756
354183,2,0.110925
312722,1,0.100611
723611,0,0.189016
843610,2,0.235184
868601,1,0.249971
20691,0,0.005262
169946,1,0.075143
12382,2,0.002733
589559,0,0.180717
62712,0,0.014702
991599,0,0.272757
776707,2,0.198263
967540,1,0.286409
833839,0,0.201173
705015,2,0.160576
952322,1,0.272747
234566,0,0.073059
550375,0,0.139737
794978,2,0.201934
348991,1,0.103463
354183,1,0.108713
254874,1,0.080483
833839,1,0.236671
991599,1,0.294378
876829,1,0.245403
780444,1,0.245500
418075,0,0.116296
117563,2,0.028747
215356,0,0.053731
223338,1,0.075050
917312,1,0.264927
241825,2,0.058059
371716,0,0.096127
780444,0,0.203654
443645,0,0.100923
550375,2,0.142782
598653,1,0.174829
946636,1,0.277279
263210,2,0.084751
177833,2,0.047744
275367,0,0.065732
683534,1,0.205217
794978,0,0.209048
152995,0,0.036023
348991,0,0.078618
408832,0,0.088965
898868,0,0.225965
215356,2,0.057905
512669,0,0.123855
668441,1,0.197567
512669,2,0.138754
263210,0,0.068749
33315,1,0.099963
124025,1,0.050291
843610,1,0.247622
756081,2,0.226132
967540,0,0.272215
776707,0,0.185192
917312,0,0.212990
539638,1,0.172581
802915,1,0.226468
843610,0,0.201119
197433,1,0.114778
653117,1,0.196907
598653,0,0.161995
898868,2,0.230766
57955,1,0.035960
430781,2,0.125481
902715,1,0.270912
632157,0,0.160235
693213,0,0.169113
215356,1,0.063991
561942,0,0.119435
589,1,0.018079
648621,1,0.193174
623686,0,0.160150
868601,0,0.214976
241825,1,0.079031
740075,0,0.208172
668441,0,0.172411
740075,1,0.217212
20691,1,0.043711
328997,0,0.092123
676884,2,0.202098
468381,2,0.135567
764505,2,0.186284
208154,0,0.053213
275367,2,0.064179
101463,2,0.027165
430781,1,0.130510
610082,0,0.158544
632157,1,0.184365
354183,0,0.080329
73146,1,0.035655
764505,1,0.222940
131059,2,0.038305
254874,2,0.069428
234566,2,0.055473
338245,1,0.108887
764505,0,0.205855
898868,1,0.276382
589,0,0.000088
539638,2,0.165059
197433,2,0.052885
408832,2,0.106608
683534,0,0.176175
131059,1,0.048503
756081,1,0.220488
386723,0,0.109881
520039,2,0.167637
57955,0,0.013781
740075,2,0.234739
756081,0,0.218814
